Nicaragua,16556.12047,19067.79554,24485.26326,25319.07241,26149.21442,27011.0904,27843.08294,28722.02467,27368.62798,25971.93485,25159.80488,27378.86356
Netherlands,28035.77338,36463.69734,39876.0338,39706.88816,40127.42431,40732.65268,41404.46265,42358.53937,43106.14101,43662.16243,41732.92555,43533.99529
Norway,401123.1475,543829.202,590125.9183,589062.4166,593928.4035,599615.2725,600724.9186,609736.8792,612502.3438,612918.8002,604950.8549,625076.9185
Nepal,32165.36603,41812.34364,59714.564,61704.76449,65222.2651,67451.48666,67133.6674,72323.95186,76954.03238,81149.50201,77833.27195,79284.61389
Nauru,,,4691.689008,5984.664298,7404.021938,7510.058114,7606.889919,7019.346002,7296.209326,7171.117705,7145.757207,7139.317401
New Zealand,37855.54748,44257.42593,52370.90493,53370.86558,54494.47338,55395.49616,56205.80832,57013.62805,57882.68151,58217.99626,56235.08605,57954.77073
OECD members,,,,,,,,,,,,
Oman,6808.628235,8357.567507,8330.375308,8120.251108,7830.084651,7864.900224,7874.272124,7648.176273,7646.772323,7557.816145,7397.804441,7665.24725
Other small states,,,,,,,,,,,,
Pakistan,98850.19027,108767.3412,134004.9012,137762.7424,142184.9186,146993.6395,153261.0866,157942.8898,165101.5647,166525.8534,161579.5448,168934.4009
Panama,3487.721341,4721.946437,8157.503525,8568.499323,8846.960998,9192.693941,9482.119724,9841.840812,10035.03987,10169.79907,8224.625768,9361.962849
Peru,6852.020519,8336.585137,14494.28427,15194.84344,15395.29401,15710.73692,16111.02562,16269.80202,16601.25853,16652.16496,14614.63942,16363.82301
Philippines,85115.70789,89604.18747,126656.8676,132945.1294,139116.889,145498.4844,153159.8108,160916.4259,168236.0328,175598.9258,156321.3348,162785.392
Palau,,11761.01085,14609.46729,14226.37461,15129.4111,16271.85568,16238.21284,15557.54892,15550.82848,15567.09087,14105.27487,12189.30315
Papua New Guinea,5071.467988,5316.664715,5726.401272,5787.465999,6401.650277,6651.444673,6845.490135,6919.785073,6741.855258,6886.499294,6526.692268,6414.8151
Poland,19267.21622,27683.66321,43222.65485,43619.20217,45326.76554,47345.11383,48764.41289,51264.51402,54312.40495,56743.15941,55694.32179,59747.65124
Pre-demographic dividend,,,,,,,,,,,,
Puerto Rico,1871.020639,2609.92677,2914.38574,2938.929502,2951.760091,2972.620314,2992.42193,2977.187526,2965.001688,3014.346396,2805.940385,2827.229206
"Korea, Dem. People's Rep.",,,,,,,,,,,,
Portugal,13133.9514,16939.89435,16813.6465,16750.19209,16974.16225,17350.05217,17756.35972,18423.83804,18979.15532,19483.69578,17847.67819,18774.98422
Paraguay,20677056.37,20779084.48,26674282.95,28490405.09,29581729.47,30026478.24,30865045.64,31897733.27,32470601.13,31910742.36,31225147.12,32093469.93
West Bank and Gaza,,2436.003009,3237.9162,3309.631202,3227.849345,3272.154324,3483.099035,3462.979861,3417.794408,3378.434621,2922.468011,3052.583018
Pacific island small states,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,
French Polynesia,2378305.529,2097783.219,1535972.27,1534256.552,1540461.98,1583107.795,1626627.319,1650014.367,1684327.567,1712940.385,1530397.516,1535332.692
Qatar,,209393.6776,292546.9686,289103.1289,279914.3742,268919.0599,257872.2348,243089.4263,241201.2555,239563.0691,234759.8068,244895.2532
Romania,10672.70326,9715.612073,17516.33697,17628.96378,18424.27982,19096.13105,19754.81299,21497.91857,22928.33973,23937.58136,23184.61479,24552.3246
Russian Federation,491936.0313,333638.7188,593849.5625,602988.75,596685.9375,583655,583714.8125,593692.75,610408.3125,624105.75,608745.5625,640261.75
Rwanda,303231.4278,275952.2855,532264.4118,544281.1009,564271.333,599765.8327,620237.335,629110.4441,666652.0904,712482.1231,672244.5343,727943.7327
South Asia,,,,,,,,,,,,
Saudi Arabia,68868.72943,65998.1454,74515.9488,74920.70084,76102.6844,77717.50532,77440.08659,75119.48968,75193.84259,73740.76053,70356.27281,72730.84808
Sudan,321.2556152,470.9070435,549.043335,546.8544312,556.68396,549.9592285,551.602417,537.7258301,506.8721313,481.6894531,451.5827637,431.3355103
Senegal,593749.9656,629932.4079,679083.3006,676859.0665,699701.0374,724246.9289,749741.4368,783585.5944,809951.8518,824768.0019,813565.3785,840376.2099
Singapore,31995.88991,47967.7558,71050.0661,73276.76036,75178.08942,76502.97145,78206.4861,81779.54558,84376.49193,84330.46045,81089.08727,90979.29685
Solomon Islands,13323.54271,12920.59943,15354.11783,15753.17885,15539.98745,15406.26122,15862.23257,15955.49645,16005.33334,15905.49828,15007.42921,14624.54669
Sierra Leone,1112022.609,810581.3196,1246948.349,1467166.921,1496249.32,1159766.065,1200592.684,1221005.879,1233785.69,1268667.853,1215421.844,1237261.51
El Salvador,2331.951291,2919.19989,3526.557527,3591.203581,3638.517658,3712.962321,3795.393256,3870.701876,3957.961543,4051.934075,3713.19967,4080.958349
San Marino,,45446.0724,34649.28166,34219.61845,33873.43137,34462.8218,34995.55938,34857.22698,35274.38336,35979.8663,33756.84977,
Somalia,13259.28001,,,7317424.809,7617065.243,8473941.725,8856607.635,8716257.915,9040080.907,9367559.507,9278125.872,9354804.158
Serbia,,347463.0625,581442.4266,601179.6265,594407.9553,608144.8176,631748.0415,648464.0054,681325.5341,714663.4347,712941.6393,774038.2592
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,
