Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Luxembourg,33465.47821,48659.59888,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116786.5117,112621.8213,117370.4969,133590.147
"Macao SAR, China",9269.639392,15684.77955,74111.26726,86852.98784,90873.93244,73220.26876,71918.73108,78985.64214,84923.38678,83183.16661,37646.3162,43873.59116
Madagascar,330.8435253,285.4664563,504.1737301,526.6880118,517.1361761,455.6380397,464.6161535,503.4980587,512.5439846,512.2796597,462.4042237,500.511032
Malawi,197.1527885,155.2628413,386.906541,344.3967712,367.0242697,376.2462048,312.1427971,500.1655472,537.9322041,584.3628673,628.699482,634.8356601
Malaysia,2513.218167,4087.562593,10601.51389,10727.69966,11045.44513,9699.584021,9555.651202,9979.800841,11074.06409,11132.02393,10160.78325,11109.26184
Maldives,955.9336667,2209.988231,7447.432572,8222.563389,8872.124925,9434.331078,9640.324009,10062.98312,10823.63669,11118.55654,7282.358489,10366.29336
Mali,299.8216159,263.4983842,753.3921936,778.7970906,818.4303911,723.5042025,750.0518281,795.682733,856.3565318,840.175765,822.906144,873.7948624
Malta,7191.923603,11083.0128,22527.75911,24770.93408,26754.26233,24921.579,25624.46364,28823.52512,31567.94224,31198.24145,28977.56557,33486.67198
Marshall Islands,1704.258692,2127.240705,3445.315403,3611.699642,3672.680934,3703.649059,4153.117176,4507.622862,4769.190459,5188.971114,5567.972727,6172.145065
Mauritania,751.1934824,660.3047731,1850.384968,1929.773521,1715.388838,1562.725248,1579.198554,1634.643606,1749.954236,1839.96445,1868.466574,2166.046799
Mauritius,2506.179312,3929.075495,9291.227619,9766.756465,10368.61343,9509.934655,9967.881736,10844.03633,11645.98198,11405.72682,9007.419102,9106.237202
Mexico,3196.918925,7232.878809,10376.05767,10865.6802,11076.09245,9753.380048,8875.062256,9434.386487,9857.028829,10145.17018,8655.000682,10045.6805
"Micronesia, Fed. Sts.",1492.855187,2088.209544,3023.585446,2920.700863,2928.448782,2891.322103,3022.653627,3320.354976,3623.329337,3699.081514,3639.412699,3571.336769
Moldova,..,440.538684,3044.808478,3321.043917,3327.786775,2731.065584,2879.391291,3509.64734,4232.206888,4493.370303,4500.624464,5230.661733
Monaco,81813.31577,81561.24591,165505.1781,185066.5781,195780.0069,170337.9244,174610.637,173612.8646,194280.8221,199377.4818,182538.6383,234315.4605
Mongolia,1184.762914,463.8538819,4402.304523,4422.300876,4211.939454,3919.351148,3690.756716,3708.248223,4165.022739,4394.947147,4041.174196,4566.140154
Montenegro,..,1627.072633,6586.721279,7189.293287,7388.147794,6517.163752,7033.604899,7803.411137,8850.092733,8909.653336,7677.152226,9465.703999
